Wavelength,Intensity
557.302452,2
556.291199,3
555.287605,3
554.291652,3
553.303319,4
552.322588,4
551.349439,4
550.383852,4
549.425809,3
548.47529,3
547.532276,2
546.596747,2
545.668684,2
544.748068,2
543.834879,3
542.929098,3
542.030706,4
541.139683,3
540.256009,2
539.379667,2
538.510635,2
537.648895,2
536.794428,3
535.947214,4
535.107234,4
534.274468,4
533.448898,3
532.630503,2
531.819264,2
531.015163,2
530.218179,2
529.428294,2
528.645487,3
527.869741,3
527.101034,2
526.339349,2
525.584665,3
524.836963,3
524.096225,4
523.36243,3
522.635559,3
521.915593,3
521.202512,2
520.496298,2
519.79693,2
519.10439,3
518.418658,3
517.739715,3
517.067541,3
516.402118,3
515.743425,2
515.091443,2
514.446154,2
513.807537,2
513.175573,2
512.550244,2
511.931529,2
511.319409,3
510.713865,3
510.114878,2
509.522428,2
508.936496,2
508.357062,3
507.784108,3
507.217613,3
506.657559,3
506.103926,3
505.556695,2
505.015847,2
504.481361,2
503.953219,2
503.431402,2
502.915889,2
502.406662,3
501.903702,3
501.406988,3
500.916503,3
500.432225,3
499.954136,3
499.482217,3
499.016449,3
498.556811,3
498.103284,3
497.65585,3
497.214489,3
496.779181,2
496.349908,2
495.926649,3
495.509385,3
495.098098,3
494.692768,3
494.293374,3
493.899899,4
493.512323,3
493.130626,3
492.754789,3
492.384792,2
492.020617,2
491.662244,2
491.309654,2
490.962826,2
490.621743,2
490.286384,2
489.956731,2
489.632763,2
489.314462,2
489.001808,2
488.694781,3
488.393364,3
488.097535,3
487.807276,3
487.522567,2
487.24339,3
486.969724,3
486.701551,3
486.438851,3
486.181604,2
485.929792,2
485.683394,2
485.442392,2
485.206767,2
484.976498,2
484.751567,2
484.531954,2
484.317641,2
484.108606,1
483.904832,1
483.706299,1
483.512987,1
483.324877,1
483.14195,2
482.964186,3
482.791567,3
482.624072,3
482.461683,3
482.304379,3
482.152143,2
482.004953,2
481.862792,2
481.725639,2
481.593476,2
481.466282,3
481.344039,3
481.226728,3
481.114328,3
481.00682,2
480.904186,1
480.806406,1
480.71346,1
480.62533,1
480.541995,2
480.463437,2
480.389635,2
480.320572,2
480.256227,2
480.196581,1
480.141614,2
480.091308,2
480.045643,2
480.0046,2
479.968158,2
479.9363,2
479.909006,2
479.886255,2
479.86803,1
479.85431,1
479.845076,1
479.84031,1
479.83999,2
479.844099,2
479.852617,2
479.865524,2
479.882801,2
479.904429,2
479.930389,2
479.96066,2
479.995224,2
480.034062,2
480.077153,3
480.124479,3
480.176021,3
480.231758,3
480.291672,2
480.355744,2
480.423953,2
480.496281,2
480.572708,2
480.653215,2
480.737782,2
480.826391,2
480.919021,2
481.015654,2
481.11627,2
481.22085,2
481.329374,3
481.441823,3
481.558178,3
481.67842,3
481.802528,3
481.930484,3
482.062269,2
482.197862,2
482.337245,3
482.480398,3
482.627303,3
482.777938,3
482.932286,3
483.090327,3
483.252042,3
483.41741,3
483.586414,3
483.759033,4
483.935248,3
484.11504,3
484.298389,3
484.485276,4
484.675682,4
484.869588,4
485.066973,4
485.26782,4
485.472107,4
485.679817,4
485.890929,4
486.105425,4
486.323284,4
486.544488,4
486.769017,4
486.996853,5
487.227974,5
487.462363,5
487.7,5
487.940865,5
488.18494,5
488.432204,5
488.682639,5
488.936224,6
489.192942,6
489.452772,6
489.715695,6
489.981692,6
490.250743,6
490.522829,7
490.79793,7
491.076028,7
491.357103,6
491.641136,7
491.928107,7
492.217996,7
492.510786,7
492.806455,7
493.104986,7
493.406358,7
493.710552,7
494.017548,7
494.327329,7
494.639873,7
494.955162,7
495.273177,7
495.593898,8
495.917305,8
496.24338,8
496.572103,8
496.903454,9
497.237415,9
497.573966,10
497.913087,10
498.25476,10
498.598965,10
498.945682,10
499.294892,10
499.646576,10
500.000715,10
500.357289,10
500.716279,11
501.077665,11
501.441429,11
501.80755,11
502.176009,12
502.546788,12
502.919867,12
503.295225,11
503.672845,11
504.052707,12
504.434791,12
504.819077,12
505.205548,12
505.594183,13
505.984962,13
506.377868,13
506.772879,12
507.169978,12
507.569144,13
507.970358,13
508.373601,14
508.778853,14
509.186096,14
509.59531,14
510.006474,15
510.419571,15
510.834581,15
511.251484,16
511.670261,16
512.090893,15
512.513361,15
512.937644,16
513.363724,16
513.791581,16
514.221196,16
514.65255,17
515.085623,16
515.520396,17
515.956849,17
516.394964,17
516.83472,17
517.276099,17
517.719081,18
518.163647,18
518.609778,18
519.057453,18
519.506655,18
519.957362,18
520.409557,18
520.86322,18
521.31833,18
521.77487,18
522.23282,18
522.69216,18
523.152871,18
523.614933,18
524.078328,18
524.543035,18
525.009036,19
525.476312,18
525.944842,18
526.414608,19
526.88559,19
527.357769,19
527.831125,19
528.305639,20
528.781293,22
529.258065,24
529.735938,27
530.214891,30
530.694906,33
531.175963,35
531.658042,36
532.141125,38
532.625192,39
533.110223,41
533.5962,42
534.083103,43
534.570912,45
535.059608,46
535.549173,48
536.039586,50
536.530828,52
537.02288,53
537.515722,54
538.009335,55
538.503701,56
538.998798,57
539.494609,58
539.991114,59
540.488293,61
540.986127,62
541.484597,64
541.983683,65
542.483366,67
542.983626,68
543.484445,68
543.985803,68
544.487681,69
544.990059,70
545.492917,70
545.996238,71
546.5,71
547.004185,72
547.508774,72
548.013747,73
548.519085,74
549.024768,75
549.530777,76
550.037093,76
550.543697,76
551.050568,76
551.557688,76
552.065038,76
552.572598,77
553.080348,78
553.588269,78
554.096343,78
554.604549,78
555.112868,79
555.621282,79
556.12977,79
556.638313,79
557.146892,79
557.655487,80
558.16408,80
558.67265,81
559.181179,81
559.689647,81
560.198035,82
560.706323,82
561.214492,81
561.722523,81
562.230397,82
562.738093,82
563.245593,83
563.752878,83
564.259927,83
564.766722,83
565.273243,83
565.779472,83
566.285387,83
566.790971,83
567.296204,84
567.801067,84
568.305539,85
568.809603,85
569.313238,85
569.816425,85
570.319145,85
570.821378,84
571.323105,84
571.824307,85
572.324965,85
572.825058,86
573.324568,85
573.823476,85
574.321762,85
574.819406,85
575.316389,85
575.812693,85
576.308297,84
576.803182,84
577.297329,84
577.790719,84
578.283331,84
