Wavelength,Intensity
557.302452,2
556.291199,4
555.287605,4
554.291652,4
553.303319,4
552.322588,3
551.349439,3
550.383852,3
549.425809,4
548.47529,4
547.532276,5
546.596747,4
545.668684,4
544.748068,4
543.834879,3
542.929098,3
542.030706,3
541.139683,3
540.256009,4
539.379667,4
538.510635,5
537.648895,5
536.794428,5
535.947214,4
535.107234,3
534.274468,3
533.448898,4
532.630503,4
531.819264,4
531.015163,4
530.218179,4
529.428294,3
528.645487,4
527.869741,4
527.101034,5
526.339349,5
525.584665,5
524.836963,5
524.096225,4
523.36243,4
522.635559,4
521.915593,4
521.202512,5
520.496298,5
519.79693,5
519.10439,5
518.418658,4
517.739715,4
517.067541,5
516.402118,6
515.743425,6
515.091443,6
514.446154,5
513.807537,5
513.175573,4
512.550244,4
511.931529,4
511.319409,4
510.713865,5
510.114878,5
509.522428,4
508.936496,4
508.357062,4
507.784108,3
507.217613,3
506.657559,4
506.103926,4
505.556695,4
505.015847,4
504.481361,4
503.953219,4
503.431402,3
502.915889,3
502.406662,3
501.903702,4
501.406988,5
500.916503,5
500.432225,6
499.954136,6
499.482217,5
499.016449,5
498.556811,5
498.103284,5
497.65585,5
497.214489,5
496.779181,5
496.349908,4
495.926649,4
495.509385,4
495.098098,4
494.692768,5
494.293374,5
493.899899,5
493.512323,5
493.130626,5
492.754789,5
492.384792,6
492.020617,7
491.662244,7
491.309654,7
490.962826,6
490.621743,5
490.286384,5
489.956731,4
489.632763,4
489.314462,5
489.001808,6
488.694781,6
488.393364,5
488.097535,5
487.807276,4
487.522567,4
487.24339,3
486.969724,4
486.701551,4
486.438851,5
486.181604,5
485.929792,5
485.683394,5
485.442392,5
485.206767,4
484.976498,4
484.751567,4
484.531954,5
484.317641,4
484.108606,4
483.904832,5
483.706299,5
483.512987,5
483.324877,5
483.14195,5
482.964186,5
482.791567,4
482.624072,4
482.461683,4
482.304379,5
482.152143,6
482.004953,7
481.862792,7
481.725639,6
481.593476,5
481.466282,5
481.344039,4
481.226728,4
481.114328,5
481.00682,5
480.904186,6
480.806406,6
480.71346,6
480.62533,5
480.541995,5
480.463437,5
480.389635,6
480.320572,6
480.256227,6
480.196581,6
480.141614,5
480.091308,5
480.045643,4
480.0046,5
479.968158,5
479.9363,6
479.909006,6
479.886255,6
479.86803,7
479.85431,7
479.845076,7
479.84031,6
479.83999,6
479.844099,5
479.852617,5
479.865524,5
479.882801,5
479.904429,6
479.930389,6
479.96066,7
479.995224,7
480.034062,6
480.077153,6
480.124479,6
480.176021,6
480.231758,6
480.291672,6
480.355744,6
480.423953,6
480.496281,5
480.572708,5
480.653215,5
480.737782,5
480.826391,5
480.919021,5
481.015654,5
481.11627,5
481.22085,6
481.329374,6
481.441823,5
481.558178,5
481.67842,6
481.802528,6
481.930484,6
482.062269,6
482.197862,6
482.337245,6
482.480398,6
482.627303,7
482.777938,7
482.932286,8
483.090327,8
483.252042,8
483.41741,8
483.586414,8
483.759033,8
483.935248,7
484.11504,8
484.298389,8
484.485276,9
484.675682,9
484.869588,9
485.066973,10
485.26782,10
485.472107,10
485.679817,10
485.890929,11
486.105425,11
486.323284,12
486.544488,12
486.769017,13
486.996853,13
487.227974,13
487.462363,13
487.7,14
487.940865,14
488.18494,14
488.432204,14
488.682639,15
488.936224,16
489.192942,16
489.452772,16
489.715695,17
489.981692,17
490.250743,17
490.522829,17
490.79793,17
491.076028,18
491.357103,18
491.641136,18
491.928107,18
492.217996,18
492.510786,19
492.806455,19
493.104986,19
493.406358,19
493.710552,20
494.017548,20
494.327329,20
494.639873,20
494.955162,21
495.273177,21
495.593898,21
495.917305,21
496.24338,21
496.572103,22
496.903454,22
497.237415,22
497.573966,22
497.913087,22
498.25476,22
498.598965,23
498.945682,23
499.294892,23
499.646576,23
500.000715,23
500.357289,24
500.716279,24
501.077665,24
501.441429,23
501.80755,23
502.176009,24
502.546788,24
502.919867,24
503.295225,24
503.672845,25
504.052707,25
504.434791,25
504.819077,24
505.205548,24
505.594183,25
505.984962,25
506.377868,24
506.772879,24
507.169978,24
507.569144,25
507.970358,25
508.373601,25
508.778853,26
509.186096,26
509.59531,25
510.006474,25
510.419571,25
510.834581,26
511.251484,27
511.670261,31
512.090893,36
512.513361,43
512.937644,51
513.363724,58
513.791581,64
514.221196,69
514.65255,74
