Wavelength,Intensity
557.302452,10
556.291199,10
555.287605,10
554.291652,10
553.303319,8
552.322588,8
551.349439,9
550.383852,10
549.425809,11
548.47529,12
547.532276,12
546.596747,12
545.668684,11
544.748068,10
543.834879,10
542.929098,11
542.030706,11
541.139683,11
540.256009,11
539.379667,12
538.510635,12
537.648895,12
536.794428,11
535.947214,10
535.107234,9
534.274468,8
533.448898,7
532.630503,8
531.819264,9
531.015163,10
530.218179,10
529.428294,10
528.645487,9
527.869741,9
527.101034,9
526.339349,10
525.584665,10
524.836963,10
524.096225,8
523.36243,8
522.635559,8
521.915593,8
521.202512,8
520.496298,9
519.79693,10
519.10439,10
518.418658,10
517.739715,11
517.067541,11
516.402118,11
515.743425,10
515.091443,9
514.446154,9
513.807537,10
513.175573,11
512.550244,11
511.931529,11
511.319409,11
510.713865,11
510.114878,9
509.522428,8
508.936496,8
508.357062,9
507.784108,9
507.217613,9
506.657559,8
506.103926,8
505.556695,8
505.015847,8
504.481361,6
503.953219,7
503.431402,8
502.915889,8
502.406662,9
501.903702,10
501.406988,9
500.916503,9
500.432225,8
499.954136,7
499.482217,7
499.016449,6
498.556811,6
498.103284,6
497.65585,6
497.214489,7
496.779181,6
496.349908,7
495.926649,8
495.509385,9
495.098098,10
494.692768,11
494.293374,10
493.899899,9
493.512323,8
493.130626,8
492.754789,8
492.384792,9
492.020617,9
491.662244,8
491.309654,6
490.962826,4
490.621743,4
490.286384,4
489.956731,6
489.632763,8
489.314462,9
489.001808,9
488.694781,9
488.393364,7
488.097535,5
487.807276,5
487.522567,5
487.24339,5
486.969724,5
486.701551,6
486.438851,7
486.181604,7
485.929792,7
485.683394,7
485.442392,6
485.206767,6
484.976498,7
484.751567,7
484.531954,8
484.317641,8
484.108606,7
483.904832,6
483.706299,6
483.512987,7
483.324877,7
483.14195,8
482.964186,7
482.791567,7
482.624072,6
482.461683,6
482.304379,5
482.152143,6
482.004953,7
481.862792,7
481.725639,8
481.593476,8
481.466282,7
481.344039,6
481.226728,5
481.114328,5
481.00682,6
480.904186,7
480.806406,7
480.71346,7
480.62533,6
480.541995,6
480.463437,6
480.389635,6
480.320572,6
480.256227,6
480.196581,7
480.141614,7
480.091308,7
480.045643,6
480.0046,6
479.968158,6
479.9363,6
479.909006,6
479.886255,7
479.86803,8
479.85431,8
479.845076,8
479.84031,7
479.83999,7
479.844099,6
