Wavelength,Intensity
557.302452,3
556.291199,3
555.287605,3
554.291652,3
553.303319,3
552.322588,4
551.349439,4
550.383852,5
549.425809,5
548.47529,5
547.532276,5
546.596747,4
545.668684,3
544.748068,2
543.834879,2
542.929098,3
542.030706,4
541.139683,4
540.256009,5
539.379667,5
538.510635,5
537.648895,4
536.794428,3
535.947214,2
535.107234,2
534.274468,2
533.448898,3
532.630503,3
531.819264,4
531.015163,4
530.218179,5
529.428294,4
528.645487,4
527.869741,4
527.101034,4
526.339349,4
525.584665,4
524.836963,3
524.096225,2
523.36243,2
522.635559,2
521.915593,2
521.202512,2
520.496298,2
519.79693,3
519.10439,2
518.418658,2
517.739715,2
517.067541,4
516.402118,4
515.743425,4
515.091443,4
514.446154,3
513.807537,3
513.175573,2
512.550244,2
511.931529,3
511.319409,5
510.713865,6
510.114878,6
509.522428,6
508.936496,6
508.357062,6
507.784108,6
507.217613,6
506.657559,5
506.103926,5
505.556695,4
505.015847,4
504.481361,5
503.953219,5
503.431402,6
502.915889,5
502.406662,5
501.903702,5
501.406988,5
500.916503,5
500.432225,5
499.954136,4
499.482217,4
499.016449,4
498.556811,4
498.103284,4
497.65585,4
497.214489,4
496.779181,4
496.349908,4
495.926649,5
495.509385,6
495.098098,7
494.692768,8
494.293374,8
493.899899,8
493.512323,7
493.130626,7
492.754789,6
492.384792,5
492.020617,5
491.662244,4
491.309654,4
490.962826,4
490.621743,3
490.286384,3
489.956731,4
489.632763,5
489.314462,4
489.001808,5
488.694781,5
488.393364,5
488.097535,3
487.807276,2
487.522567,2
487.24339,3
486.969724,4
486.701551,4
486.438851,5
486.181604,4
485.929792,4
485.683394,3
485.442392,3
485.206767,4
484.976498,6
484.751567,6
484.531954,6
484.317641,6
484.108606,6
483.904832,6
483.706299,6
483.512987,5
483.324877,4
483.14195,2
482.964186,1
482.791567,1
482.624072,2
482.461683,3
482.304379,5
482.152143,4
482.004953,4
481.862792,3
481.725639,3
481.593476,3
481.466282,3
481.344039,4
481.226728,4
481.114328,4
481.00682,4
480.904186,5
480.806406,6
480.71346,6
480.62533,7
480.541995,7
480.463437,7
480.389635,7
480.320572,6
480.256227,6
480.196581,5
480.141614,5
480.091308,4
480.045643,5
480.0046,6
479.968158,7
479.9363,8
479.909006,8
479.886255,9
479.86803,9
479.85431,9
479.845076,9
479.84031,8
479.83999,8
479.844099,8
479.852617,8
479.865524,8
479.882801,8
479.904429,8
479.930389,8
479.96066,9
479.995224,10
480.034062,11
480.077153,11
480.124479,11
480.176021,10
480.231758,9
480.291672,8
480.355744,9
480.423953,10
480.496281,12
480.572708,13
480.653215,12
480.737782,10
480.826391,9
480.919021,8
481.015654,8
481.11627,9
481.22085,10
481.329374,10
481.441823,10
481.558178,10
481.67842,10
481.802528,10
481.930484,12
482.062269,13
482.197862,14
482.337245,14
482.480398,13
482.627303,13
482.777938,14
482.932286,15
483.090327,15
483.252042,15
483.41741,15
483.586414,15
483.759033,14
483.935248,14
484.11504,15
484.298389,15
484.485276,16
484.675682,16
484.869588,16
485.066973,16
485.26782,16
485.472107,16
485.679817,16
485.890929,17
486.105425,17
486.323284,18
486.544488,18
486.769017,18
486.996853,18
487.227974,17
487.462363,18
487.7,19
487.940865,19
488.18494,19
488.432204,20
488.682639,20
488.936224,21
489.192942,22
489.452772,22
489.715695,22
489.981692,23
490.250743,23
490.522829,22
490.79793,21
491.076028,21
491.357103,21
491.641136,21
491.928107,22
492.217996,23
492.510786,25
492.806455,27
493.104986,27
493.406358,27
493.710552,27
494.017548,26
494.327329,26
494.639873,26
494.955162,26
495.273177,25
495.593898,25
495.917305,24
496.24338,25
496.572103,25
496.903454,24
497.237415,24
497.573966,25
497.913087,26
498.25476,27
498.598965,28
498.945682,29
499.294892,30
499.646576,29
500.000715,29
500.357289,28
500.716279,29
501.077665,31
501.441429,32
501.80755,33
502.176009,33
502.546788,33
502.919867,32
503.295225,32
503.672845,31
504.052707,32
504.434791,33
504.819077,34
505.205548,35
505.594183,34
505.984962,34
506.377868,34
506.772879,34
507.169978,33
507.569144,34
507.970358,35
508.373601,37
508.778853,38
509.186096,39
509.59531,40
510.006474,40
510.419571,38
510.834581,37
511.251484,36
511.670261,37
512.090893,37
512.513361,37
512.937644,36
513.363724,35
513.791581,34
514.221196,32
514.65255,33
515.085623,34
515.520396,33
515.956849,33
516.394964,31
516.83472,31
517.276099,30
517.719081,29
518.163647,29
518.609778,29
519.057453,29
519.506655,29
519.957362,29
520.409557,28
520.86322,29
521.31833,28
521.77487,28
522.23282,28
522.69216,28
523.152871,29
523.614933,28
524.078328,27
524.543035,27
525.009036,26
525.476312,27
525.944842,28
526.414608,29
526.88559,29
527.357769,30
527.831125,30
528.305639,30
528.781293,29
529.258065,29
529.735938,29
530.214891,28
530.694906,28
531.175963,28
531.658042,28
532.141125,29
532.625192,29
533.110223,29
533.5962,29
534.083103,29
534.570912,29
535.059608,28
535.549173,28
536.039586,28
536.530828,28
537.02288,27
537.515722,27
538.009335,28
538.503701,29
538.998798,30
539.494609,31
539.991114,31
540.488293,30
540.986127,30
541.484597,31
541.983683,31
542.483366,31
542.983626,31
543.484445,29
543.985803,28
544.487681,28
544.990059,28
545.492917,29
545.996238,29
546.5,30
547.004185,29
547.508774,28
548.013747,28
548.519085,27
549.024768,27
549.530777,27
550.037093,27
550.543697,27
551.050568,27
551.557688,26
552.065038,25
552.572598,25
553.080348,26
553.588269,26
554.096343,27
554.604549,27
555.112868,25
555.621282,25
556.12977,24
556.638313,23
557.146892,24
557.655487,25
558.16408,25
558.67265,25
559.181179,25
559.689647,24
560.198035,24
560.706323,25
561.214492,25
561.722523,25
562.230397,25
562.738093,26
563.245593,25
563.752878,24
564.259927,23
564.766722,22
565.273243,22
565.779472,23
566.285387,24
566.790971,24
567.296204,24
567.801067,24
568.305539,22
568.809603,21
569.313238,21
569.816425,21
570.319145,20
570.821378,20
571.323105,19
571.824307,19
572.324965,20
572.825058,20
573.324568,20
573.823476,19
574.321762,20
574.819406,20
575.316389,19
575.812693,18
576.308297,18
576.803182,18
577.297329,18
577.790719,18
578.283331,19
578.775148,19
579.266149,19
579.756316,18
580.245628,17
580.734066,17
581.221612,17
581.708246,16
582.193947,16
582.678698,16
583.162479,16
583.64527,15
584.127052,14
584.607805,13
585.087511,12
585.56615,12
586.043703,12
586.520149,13
586.995471,14
587.469648,15
587.942662,16
588.414492,15
588.88512,14
589.354526,13
589.82269,13
590.289595,12
590.755219,12
591.219544,11
591.682551,10
592.144219,10
592.60453,10
593.063465,9
593.521004,9
593.977127,8
594.431816,8
594.88505,7
595.336811,6
595.78708,6
596.235836,6
596.683061,6
597.128736,7
597.57284,8
598.015354,8
598.45626,7
598.895538,6
599.333168,5
599.769131,5
600.203408,4
600.63598,4
601.066826,4
601.495928,4
601.923267,4
602.348823,4
602.772576,4
603.194508,5
603.614598,4
604.032829,3
604.449179,2
604.863631,2
605.276164,4
605.686759,5
606.095397,6
606.502059,7
606.906725,7
607.309376,6
607.709992,5
608.108555,5
608.505044,4
608.89944,4
609.291725,3
609.681879,3
610.069881,3
610.455714,3
610.839358,3
611.220793,4
611.6,4
611.97696,3
612.351653,3
612.724059,4
613.094161,4
613.461938,5
613.82737,5
614.190439,4
614.551126,3
614.90941,2
615.265273,2
615.618695,3
615.969656,4
616.318138,4
616.664122,5
617.007587,5
617.348514,5
617.686885,5
618.022679,5
618.355877,5
618.686461,5
619.01441,4
619.339706,4
619.662328,4
619.982258,4
620.299477,4
620.613964,4
620.925701,5
621.234668,5
621.540846,6
621.844216,6
622.144757,6
622.442452,5
622.73728,4
623.029222,3
623.318258,3
623.604371,3
623.887539,3
624.167744,3
624.444967,3
624.719187,3
624.990386,2
625.258545,2
625.523643,3
625.785662,4
626.044582,5
626.300385,5
626.55305,6
626.802558,5
627.04889,5
627.292026,4
627.531948,4
627.768635,4
628.002069,4
628.23223,3
628.459099,3
628.682657,3
628.902883,4
629.119759,4
629.333266,4
629.543384,4
629.750093,4
629.953374,3
630.153209,3
630.349577,3
630.54246,3
630.731838,3
630.917691,3
631.1,3
631.278746,3
631.45391,4
631.625472,4
631.793413,4
631.957713,3
632.118354,3
632.275315,3
632.428578,3
632.578123,4
632.72393,4
632.865981,4
633.004256,4
633.138736,3
633.269401,3
633.396232,4
633.51921,4
633.638315,5
633.753528,5
633.86483,6
633.972201,6
634.075622,5
634.175073,5
634.270536,4
634.36199,4
634.449417,4
634.532797,3
634.612111,3
634.68734,3
634.758463,3
634.825463,4
634.888318,4
634.947011,4
635.001522,4
635.05183,4
635.097918,4
635.139766,3
635.177354,3
635.210663,4
635.239673,5
635.264366,6
635.284722,6
635.300721,6
635.312344,5
635.319573,5
635.322387,4
635.320767,4
635.314694,5
635.304148,4
635.289111,3
635.269562,3
635.245483,3
635.216853,3
635.183655,3
635.145868,3
635.103473,4
635.05645,4
635.004781,5
634.948446,6
634.887426,6
634.821701,6
634.751252,6
634.676059,5
634.596104,4
634.511366,4
634.421827,5
634.327468,5
634.228268,5
634.124208,5
634.01527,5
633.901434,5
633.78268,4
633.658989,3
633.530342,2
633.396719,2
633.258101,3
633.114469,6
