Wavelength,Intensity
557.302452,3
556.291199,4
555.287605,4
554.291652,4
553.303319,5
552.322588,5
551.349439,4
550.383852,4
549.425809,3
548.47529,4
547.532276,4
546.596747,4
545.668684,4
544.748068,6
543.834879,7
542.929098,6
542.030706,6
541.139683,6
540.256009,6
539.379667,6
538.510635,6
537.648895,5
536.794428,5
535.947214,5
535.107234,4
534.274468,4
533.448898,5
532.630503,5
531.819264,5
531.015163,4
530.218179,3
529.428294,3
528.645487,4
527.869741,5
527.101034,5
526.339349,5
525.584665,5
524.836963,4
524.096225,5
523.36243,5
522.635559,6
521.915593,7
521.202512,6
520.496298,5
519.79693,4
519.10439,4
518.418658,4
517.739715,4
517.067541,4
516.402118,5
515.743425,5
515.091443,5
514.446154,5
513.807537,5
513.175573,5
512.550244,5
511.931529,5
511.319409,5
510.713865,5
510.114878,4
509.522428,3
508.936496,2
508.357062,3
507.784108,4
507.217613,4
506.657559,5
506.103926,6
505.556695,5
505.015847,4
504.481361,4
503.953219,4
503.431402,4
502.915889,4
502.406662,3
501.903702,3
501.406988,3
500.916503,3
500.432225,2
499.954136,2
499.482217,3
499.016449,4
498.556811,5
498.103284,6
497.65585,7
497.214489,6
496.779181,6
496.349908,5
495.926649,5
495.509385,5
495.098098,5
494.692768,5
494.293374,5
493.899899,4
493.512323,5
493.130626,5
492.754789,6
492.384792,6
492.020617,5
491.662244,5
491.309654,4
490.962826,3
490.621743,4
490.286384,4
489.956731,5
489.632763,5
489.314462,6
489.001808,7
488.694781,8
488.393364,8
488.097535,9
487.807276,8
487.522567,7
487.24339,5
486.969724,4
486.701551,4
486.438851,5
486.181604,5
485.929792,7
485.683394,8
485.442392,7
485.206767,6
484.976498,5
484.751567,4
484.531954,4
484.317641,4
484.108606,5
483.904832,6
483.706299,7
483.512987,7
483.324877,6
483.14195,5
482.964186,4
482.791567,5
482.624072,6
482.461683,7
482.304379,7
482.152143,6
482.004953,5
481.862792,4
481.725639,5
481.593476,5
481.466282,6
481.344039,5
481.226728,5
481.114328,4
481.00682,3
480.904186,4
480.806406,6
480.71346,7
480.62533,9
480.541995,10
480.463437,10
480.389635,9
480.320572,8
480.256227,7
480.196581,6
480.141614,5
480.091308,6
480.045643,6
480.0046,5
479.968158,6
479.9363,7
479.909006,7
479.886255,7
479.86803,5
479.85431,4
479.845076,5
479.84031,7
479.83999,7
479.844099,6
479.852617,6
479.865524,5
479.882801,4
479.904429,3
479.930389,4
479.96066,5
479.995224,6
480.034062,7
480.077153,8
480.124479,8
480.176021,8
480.231758,8
480.291672,8
480.355744,9
480.423953,10
480.496281,10
480.572708,10
480.653215,10
480.737782,9
480.826391,9
480.919021,10
481.015654,10
481.11627,9
481.22085,7
481.329374,8
481.441823,8
481.558178,9
481.67842,11
481.802528,12
481.930484,12
482.062269,12
482.197862,11
482.337245,11
482.480398,12
482.627303,12
482.777938,11
482.932286,11
483.090327,11
483.252042,12
483.41741,12
483.586414,13
483.759033,13
483.935248,13
484.11504,12
484.298389,11
484.485276,11
484.675682,12
484.869588,12
485.066973,13
485.26782,13
485.472107,14
485.679817,14
485.890929,14
486.105425,13
486.323284,13
486.544488,13
486.769017,14
486.996853,15
487.227974,15
487.462363,15
487.7,15
487.940865,16
488.18494,16
488.432204,17
488.682639,18
488.936224,17
489.192942,17
489.452772,16
489.715695,16
489.981692,15
490.250743,16
490.522829,17
490.79793,17
491.076028,18
491.357103,18
491.641136,18
491.928107,18
492.217996,19
492.510786,19
492.806455,20
493.104986,21
493.406358,22
493.710552,23
494.017548,23
494.327329,24
494.639873,23
494.955162,22
495.273177,22
495.593898,21
495.917305,22
496.24338,22
496.572103,23
496.903454,23
497.237415,22
497.573966,21
497.913087,23
498.25476,25
498.598965,27
498.945682,28
499.294892,29
499.646576,28
500.000715,28
500.357289,26
500.716279,26
501.077665,26
501.441429,26
501.80755,26
502.176009,27
502.546788,28
502.919867,29
503.295225,29
503.672845,29
504.052707,30
504.434791,30
504.819077,32
505.205548,32
505.594183,32
505.984962,31
506.377868,29
506.772879,29
507.169978,30
507.569144,31
507.970358,32
508.373601,33
508.778853,34
509.186096,34
509.59531,34
510.006474,33
510.419571,32
510.834581,30
511.251484,29
511.670261,29
512.090893,28
512.513361,29
512.937644,28
513.363724,27
513.791581,25
514.221196,24
514.65255,25
515.085623,25
515.520396,26
515.956849,27
516.394964,26
516.83472,26
517.276099,25
517.719081,25
518.163647,25
518.609778,27
519.057453,27
519.506655,27
519.957362,27
520.409557,27
520.86322,28
521.31833,28
521.77487,28
522.23282,28
522.69216,27
523.152871,27
523.614933,26
524.078328,26
524.543035,26
525.009036,26
525.476312,26
525.944842,26
526.414608,26
526.88559,27
527.357769,28
527.831125,29
528.305639,29
528.781293,28
529.258065,27
529.735938,26
530.214891,26
530.694906,26
531.175963,27
531.658042,28
532.141125,29
532.625192,29
533.110223,29
533.5962,27
534.083103,27
534.570912,28
535.059608,29
535.549173,31
536.039586,33
536.530828,34
537.02288,34
537.515722,33
538.009335,33
538.503701,34
538.998798,34
539.494609,35
539.991114,34
540.488293,33
540.986127,32
541.484597,31
541.983683,30
542.483366,29
542.983626,28
543.484445,27
543.985803,26
544.487681,27
544.990059,27
545.492917,27
545.996238,27
546.5,27
547.004185,26
547.508774,25
548.013747,26
548.519085,26
549.024768,26
549.530777,25
550.037093,24
550.543697,23
551.050568,23
551.557688,23
552.065038,23
552.572598,24
553.080348,24
553.588269,24
554.096343,24
554.604549,23
555.112868,23
555.621282,23
556.12977,23
556.638313,23
557.146892,22
557.655487,22
558.16408,22
558.67265,20
559.181179,20
559.689647,20
560.198035,21
560.706323,22
561.214492,23
561.722523,21
562.230397,21
562.738093,20
563.245593,19
563.752878,19
564.259927,19
564.766722,19
565.273243,19
565.779472,20
566.285387,21
566.790971,21
567.296204,21
567.801067,21
568.305539,20
568.809603,19
569.313238,18
569.816425,17
570.319145,16
570.821378,16
571.323105,15
571.824307,16
572.324965,17
572.825058,17
573.324568,17
573.823476,17
574.321762,18
574.819406,17
575.316389,17
575.812693,17
576.308297,17
576.803182,17
577.297329,17
577.790719,16
578.283331,15
578.775148,15
579.266149,14
579.756316,13
580.245628,14
580.734066,15
581.221612,17
581.708246,16
582.193947,17
582.678698,16
583.162479,14
583.64527,12
584.127052,12
584.607805,13
585.087511,14
585.56615,14
586.043703,14
586.520149,15
586.995471,15
587.469648,14
587.942662,12
588.414492,11
588.88512,10
589.354526,8
589.82269,7
590.289595,7
590.755219,8
591.219544,8
591.682551,7
592.144219,6
592.60453,6
593.063465,6
593.521004,6
593.977127,5
594.431816,5
594.88505,6
595.336811,7
595.78708,8
596.235836,8
596.683061,8
597.128736,7
597.57284,7
598.015354,6
598.45626,6
598.895538,6
599.333168,5
599.769131,5
600.203408,5
600.63598,5
601.066826,5
601.495928,6
601.923267,6
602.348823,5
602.772576,4
603.194508,4
603.614598,4
604.032829,5
604.449179,6
604.863631,6
605.276164,6
605.686759,6
606.095397,5
606.502059,5
606.906725,5
607.309376,5
607.709992,5
608.108555,5
608.505044,5
608.89944,5
609.291725,5
609.681879,6
610.069881,7
610.455714,6
610.839358,5
611.220793,4
611.6,4
611.97696,4
612.351653,5
612.724059,6
613.094161,7
613.461938,7
613.82737,6
614.190439,5
614.551126,5
614.90941,5
615.265273,5
615.618695,6
615.969656,6
616.318138,5
616.664122,4
617.007587,4
617.348514,5
617.686885,4
618.022679,4
618.355877,4
618.686461,5
619.01441,5
619.339706,6
619.662328,7
619.982258,7
620.299477,7
620.613964,6
620.925701,6
621.234668,6
621.540846,6
621.844216,6
622.144757,6
622.442452,6
622.73728,6
623.029222,6
623.318258,5
623.604371,5
623.887539,4
624.167744,3
624.444967,4
624.719187,4
624.990386,4
625.258545,5
625.523643,5
625.785662,5
626.044582,5
626.300385,4
626.55305,4
626.802558,3
627.04889,3
627.292026,3
627.531948,3
627.768635,4
628.002069,4
628.23223,4
628.459099,5
628.682657,5
628.902883,5
629.119759,4
629.333266,3
629.543384,3
629.750093,4
629.953374,5
630.153209,6
630.349577,7
630.54246,7
630.731838,6
630.917691,5
631.1,4
631.278746,4
631.45391,4
631.625472,4
631.793413,4
631.957713,5
632.118354,6
632.275315,6
632.428578,5
632.578123,5
632.72393,4
632.865981,4
633.004256,4
633.138736,5
633.269401,6
633.396232,6
633.51921,6
633.638315,6
633.753528,7
633.86483,8
633.972201,8
634.075622,8
634.175073,7
634.270536,6
634.36199,5
634.449417,5
634.532797,5
634.612111,5
634.68734,5
634.758463,5
634.825463,4
634.888318,4
634.947011,4
635.001522,6
635.05183,7
635.097918,8
635.139766,9
635.177354,9
635.210663,9
635.239673,9
635.264366,8
635.284722,8
635.300721,7
635.312344,6
635.319573,6
635.322387,5
635.320767,6
635.314694,6
635.304148,7
635.289111,7
635.269562,8
635.245483,8
635.216853,8
635.183655,9
635.145868,8
635.103473,7
635.05645,7
635.004781,6
634.948446,6
634.887426,7
634.821701,8
634.751252,9
634.676059,8
634.596104,7
634.511366,5
634.421827,4
634.327468,4
634.228268,6
634.124208,8
634.01527,9
633.901434,9
633.78268,9
633.658989,8
633.530342,7
633.396719,7
633.258101,8
633.114469,8
632.965803,8
632.812085,6
632.653294,5
632.489411,5
632.320417,6
632.146293,7
631.967019,7
631.782576,8
631.592945,8
631.398106,7
631.198039,6
630.992726,6
630.782148,7
630.566284,7
630.345115,7
630.118623,6
629.886787,5
629.649589,5
629.407009,5
629.159028,5
628.905626,7
628.646784,8
628.382483,8
628.112702,8
627.837424,7
627.556629,6
627.270297,6
626.978409,6
626.680945,6
626.377886,6
626.069214,6
625.754908,7
625.434949,7
625.109318,7
624.777995,7
624.440962,7
624.098198,7
623.749685,8
623.395403,9
623.035332,9
622.669454,9
622.297749,7
621.920198,6
621.536781,6
621.147479,7
620.752272,7
620.351142,8
619.944069,9
619.531033,9
619.112016,9
618.686997,10
618.255958,10
617.818879,9
617.375741,9
616.926525,9
616.471211,8
616.009779,8
615.542211,9
615.068487,9
614.588588,8
614.102494,8
613.610186,9
613.111645,8
612.606851,8
612.095785,8
611.578428,7
611.05476,8
610.524762,8
609.988415,7
609.445699,7
608.896595,8
608.341083,9
607.779145,9
607.21076,9
606.63591,8
606.054575,8
605.466736,8
604.872374,9
604.271468,9
603.664,10
603.049951,8
602.429301,7
601.80203,6
601.16812,6
600.52755,7
599.880303,8
599.226358,8
598.565695,7
597.898297,7
597.224142,7
596.543213,6
595.855489,5
595.160951,5
594.45958,5
593.751357,6
593.036261,8
592.314275,10
591.585378,11
590.849551,10
590.106775,7
589.357031,5
588.600298,5
587.836558,6
587.065792,8
586.28798,8
585.503102,8
584.711139,8
583.912073,7
583.105883,7
582.292551,7
581.472056,8
580.64438,8
579.809503,9
578.967406,9
578.11807,9
577.261475,9
576.397601,8
575.52643,7
574.647943,6
573.762119,6
572.868939,6
571.968385,5
571.060436,5
570.145074,5
569.222278,5
568.292031,5
567.354311,6
566.409101,7
565.45638,8
564.49613,9
563.528331,8
562.552963,7
561.570007,6
560.579445,6
559.581255,5
558.57542,6
557.56192,7
556.540736,8
555.511847,8
554.475236,7
553.430881,8
552.378765,10
