Wavelength,Intensity
557.302452,1
556.291199,1
555.287605,1
554.291652,1
553.303319,1
552.322588,1
551.349439,1
550.383852,0
549.425809,0
548.47529,0
547.532276,0
546.596747,1
545.668684,1
544.748068,2
543.834879,1
542.929098,1
542.030706,1
541.139683,1
540.256009,1
539.379667,1
538.510635,1
537.648895,1
536.794428,1
535.947214,1
535.107234,1
534.274468,1
533.448898,1
532.630503,1
531.819264,1
531.015163,1
530.218179,1
529.428294,1
528.645487,2
527.869741,2
527.101034,2
526.339349,2
525.584665,2
524.836963,2
524.096225,2
523.36243,2
522.635559,2
521.915593,1
521.202512,1
520.496298,1
519.79693,1
519.10439,1
518.418658,1
517.739715,1
517.067541,2
516.402118,2
515.743425,1
515.091443,1
514.446154,0
513.807537,0
513.175573,0
512.550244,0
511.931529,0
511.319409,0
510.713865,0
510.114878,0
509.522428,1
508.936496,1
508.357062,2
507.784108,2
507.217613,2
506.657559,1
506.103926,1
505.556695,0
505.015847,0
504.481361,0
503.953219,0
503.431402,1
502.915889,0
502.406662,1
501.903702,1
501.406988,1
500.916503,2
500.432225,2
499.954136,2
499.482217,2
499.016449,2
498.556811,2
498.103284,2
497.65585,2
497.214489,2
496.779181,1
496.349908,1
495.926649,1
495.509385,1
495.098098,1
494.692768,1
494.293374,1
493.899899,1
493.512323,1
493.130626,1
492.754789,1
492.384792,1
492.020617,1
491.662244,1
491.309654,0
490.962826,0
490.621743,1
490.286384,1
489.956731,1
489.632763,2
489.314462,2
489.001808,2
488.694781,2
488.393364,2
488.097535,1
487.807276,1
487.522567,1
487.24339,2
486.969724,2
486.701551,2
486.438851,2
486.181604,1
485.929792,1
485.683394,2
485.442392,3
485.206767,3
484.976498,4
484.751567,3
484.531954,3
484.317641,3
484.108606,2
483.904832,2
483.706299,2
483.512987,3
483.324877,3
483.14195,3
482.964186,3
482.791567,3
482.624072,3
482.461683,3
482.304379,3
482.152143,3
482.004953,3
481.862792,3
481.725639,3
481.593476,4
481.466282,5
481.344039,6
481.226728,7
481.114328,7
481.00682,6
480.904186,6
480.806406,6
480.71346,6
480.62533,8
480.541995,9
480.463437,10
480.389635,11
480.320572,11
480.256227,12
480.196581,13
480.141614,13
480.091308,14
480.045643,15
480.0046,15
479.968158,15
479.9363,16
479.909006,18
479.886255,19
479.86803,20
479.85431,20
479.845076,21
479.84031,21
479.83999,22
479.844099,23
479.852617,23
479.865524,24
479.882801,26
479.904429,27
479.930389,29
479.96066,31
479.995224,32
480.034062,33
480.077153,34
480.124479,35
480.176021,37
480.231758,38
480.291672,39
480.355744,40
480.423953,40
480.496281,42
480.572708,43
480.653215,45
480.737782,46
480.826391,47
480.919021,49
481.015654,49
481.11627,50
481.22085,50
481.329374,51
481.441823,53
481.558178,54
481.67842,54
481.802528,55
481.930484,56
482.062269,57
482.197862,57
482.337245,58
482.480398,59
482.627303,60
482.777938,60
482.932286,61
483.090327,61
483.252042,62
483.41741,63
483.586414,63
483.759033,64
483.935248,64
484.11504,64
484.298389,65
484.485276,65
484.675682,65
484.869588,66
485.066973,67
485.26782,67
485.472107,68
485.679817,68
485.890929,68
486.105425,69
486.323284,69
486.544488,69
486.769017,70
486.996853,70
