Wavelength,Intensity
557.302452,5
556.291199,5
555.287605,6
554.291652,6
553.303319,6
552.322588,6
551.349439,6
550.383852,6
549.425809,7
548.47529,6
547.532276,6
546.596747,5
545.668684,5
544.748068,4
543.834879,4
542.929098,3
542.030706,3
541.139683,3
540.256009,4
539.379667,5
538.510635,5
537.648895,5
536.794428,6
535.947214,6
535.107234,6
534.274468,6
533.448898,6
532.630503,5
531.819264,5
531.015163,4
530.218179,3
529.428294,4
528.645487,5
527.869741,5
527.101034,5
526.339349,5
525.584665,6
524.836963,5
524.096225,4
523.36243,4
522.635559,3
521.915593,3
521.202512,4
520.496298,5
519.79693,5
519.10439,6
518.418658,6
517.739715,5
517.067541,4
516.402118,4
515.743425,3
515.091443,2
514.446154,3
513.807537,4
513.175573,3
512.550244,4
511.931529,3
511.319409,3
510.713865,3
510.114878,3
509.522428,2
508.936496,3
508.357062,4
507.784108,4
507.217613,5
506.657559,5
506.103926,4
505.556695,4
505.015847,4
504.481361,4
503.953219,4
503.431402,4
502.915889,4
502.406662,3
501.903702,3
501.406988,3
500.916503,2
500.432225,3
499.954136,3
499.482217,3
499.016449,4
498.556811,4
498.103284,4
497.65585,4
497.214489,3
496.779181,2
496.349908,3
495.926649,4
495.509385,5
495.098098,5
494.692768,4
494.293374,3
493.899899,2
493.512323,3
493.130626,5
492.754789,7
492.384792,7
492.020617,6
491.662244,5
491.309654,4
490.962826,3
490.621743,3
490.286384,3
489.956731,3
489.632763,4
489.314462,4
489.001808,5
488.694781,6
488.393364,6
488.097535,5
487.807276,5
487.522567,4
487.24339,4
486.969724,5
486.701551,5
486.438851,5
486.181604,5
485.929792,5
485.683394,5
485.442392,6
485.206767,7
484.976498,8
484.751567,8
484.531954,8
484.317641,8
484.108606,8
483.904832,8
483.706299,7
483.512987,7
483.324877,6
483.14195,7
482.964186,7
482.791567,9
482.624072,9
482.461683,10
482.304379,11
482.152143,11
482.004953,12
481.862792,12
481.725639,12
481.593476,13
481.466282,13
481.344039,14
481.226728,15
481.114328,16
481.00682,18
480.904186,19
480.806406,18
480.71346,18
480.62533,17
480.541995,18
480.463437,18
480.389635,19
480.320572,20
480.256227,22
480.196581,22
480.141614,23
480.091308,23
480.045643,23
480.0046,23
479.968158,23
479.9363,24
479.909006,25
479.886255,26
479.86803,27
479.85431,27
479.845076,27
479.84031,27
479.83999,28
479.844099,28
479.852617,29
479.865524,31
479.882801,32
479.904429,33
479.930389,34
479.96066,34
479.995224,33
480.034062,33
480.077153,34
480.124479,35
480.176021,38
480.231758,39
480.291672,40
480.355744,40
480.423953,40
480.496281,40
480.572708,40
480.653215,41
480.737782,42
480.826391,43
480.919021,44
481.015654,45
481.11627,46
481.22085,47
481.329374,48
481.441823,48
481.558178,48
481.67842,49
481.802528,49
481.930484,50
482.062269,51
482.197862,52
482.337245,54
482.480398,54
482.627303,55
482.777938,55
482.932286,55
483.090327,55
483.252042,56
483.41741,58
483.586414,59
483.759033,60
483.935248,61
484.11504,61
484.298389,62
484.485276,63
484.675682,63
484.869588,64
485.066973,63
485.26782,63
485.472107,63
485.679817,63
485.890929,64
486.105425,65
486.323284,65
486.544488,65
486.769017,65
486.996853,66
487.227974,66
487.462363,66
487.7,66
487.940865,65
488.18494,64
488.432204,64
488.682639,65
488.936224,65
489.192942,66
489.452772,66
489.715695,66
489.981692,65
490.250743,65
490.522829,65
490.79793,65
491.076028,66
491.357103,66
491.641136,66
491.928107,65
492.217996,65
492.510786,64
492.806455,64
493.104986,65
493.406358,65
493.710552,66
494.017548,66
494.327329,66
494.639873,66
494.955162,66
495.273177,66
495.593898,66
495.917305,66
496.24338,66
496.572103,65
496.903454,65
497.237415,65
497.573966,65
497.913087,65
498.25476,65
498.598965,64
498.945682,64
499.294892,64
499.646576,64
500.000715,64
500.357289,64
500.716279,63
501.077665,63
501.441429,63
501.80755,63
502.176009,63
502.546788,63
502.919867,62
503.295225,61
503.672845,61
504.052707,60
504.434791,60
504.819077,60
505.205548,61
505.594183,60
505.984962,59
506.377868,59
506.772879,59
507.169978,58
507.569144,58
507.970358,59
508.373601,59
508.778853,59
509.186096,59
509.59531,58
510.006474,56
510.419571,55
510.834581,55
511.251484,55
511.670261,55
512.090893,55
512.513361,55
512.937644,55
513.363724,54
513.791581,53
514.221196,53
514.65255,52
515.085623,52
515.520396,51
515.956849,51
516.394964,52
516.83472,52
517.276099,52
517.719081,52
518.163647,53
518.609778,52
519.057453,52
519.506655,53
519.957362,54
520.409557,55
520.86322,56
521.31833,57
521.77487,57
522.23282,58
522.69216,57
523.152871,56
523.614933,56
524.078328,57
524.543035,57
525.009036,56
525.476312,57
525.944842,58
526.414608,58
526.88559,59
527.357769,59
527.831125,60
528.305639,61
528.781293,61
529.258065,61
529.735938,62
530.214891,62
530.694906,62
531.175963,61
531.658042,62
532.141125,62
532.625192,63
533.110223,64
533.5962,64
534.083103,64
534.570912,64
535.059608,64
535.549173,64
536.039586,65
536.530828,66
537.02288,67
537.515722,68
538.009335,69
538.503701,67
538.998798,64
539.494609,62
539.991114,60
540.488293,58
540.986127,59
541.484597,60
541.983683,61
542.483366,63
542.983626,63
543.484445,63
543.985803,64
544.487681,64
544.990059,63
545.492917,63
545.996238,63
546.5,64
547.004185,64
547.508774,65
548.013747,66
548.519085,67
549.024768,68
549.530777,69
550.037093,69
550.543697,69
551.050568,69
551.557688,68
552.065038,70
552.572598,71
553.080348,71
553.588269,71
554.096343,72
554.604549,73
555.112868,73
555.621282,73
556.12977,73
556.638313,72
557.146892,71
557.655487,71
558.16408,72
558.67265,73
559.181179,74
559.689647,75
560.198035,74
560.706323,74
561.214492,74
561.722523,74
562.230397,74
562.738093,76
563.245593,77
563.752878,77
564.259927,77
564.766722,77
565.273243,77
565.779472,76
566.285387,76
566.790971,76
567.296204,77
567.801067,78
568.305539,79
568.809603,80
569.313238,80
569.816425,79
570.319145,77
570.821378,77
571.323105,77
571.824307,78
572.324965,78
572.825058,79
573.324568,79
573.823476,79
574.321762,78
574.819406,77
575.316389,78
575.812693,79
576.308297,80
576.803182,80
577.297329,81
577.790719,81
578.283331,81
578.775148,80
579.266149,79
579.756316,79
580.245628,78
580.734066,77
581.221612,77
581.708246,76
582.193947,76
582.678698,76
583.162479,75
583.64527,74
584.127052,73
584.607805,72
585.087511,72
585.56615,72
586.043703,71
586.520149,70
586.995471,68
587.469648,68
587.942662,68
588.414492,68
588.88512,68
589.354526,67
589.82269,67
590.289595,66
590.755219,66
591.219544,66
591.682551,66
592.144219,65
592.60453,64
593.063465,62
593.521004,60
593.977127,59
594.431816,58
594.88505,57
595.336811,56
595.78708,55
596.235836,55
596.683061,55
597.128736,53
597.57284,50
598.015354,49
598.45626,47
598.895538,46
599.333168,47
599.769131,47
600.203408,47
600.63598,44
601.066826,40
601.495928,37
601.923267,34
602.348823,32
602.772576,32
603.194508,32
603.614598,32
604.032829,32
604.449179,30
604.863631,29
605.276164,27
605.686759,25
606.095397,23
606.502059,21
606.906725,19
607.309376,18
607.709992,17
608.108555,16
608.505044,16
608.89944,16
609.291725,15
609.681879,15
610.069881,15
610.455714,16
610.839358,15
611.220793,15
611.6,14
611.97696,14
612.351653,14
612.724059,14
613.094161,14
613.461938,14
613.82737,14
614.190439,13
614.551126,13
614.90941,13
615.265273,13
615.618695,13
615.969656,13
616.318138,12
616.664122,12
617.007587,12
617.348514,12
617.686885,12
618.022679,12
618.355877,11
618.686461,11
619.01441,11
619.339706,11
619.662328,11
619.982258,11
620.299477,11
620.613964,10
620.925701,9
621.234668,8
621.540846,8
621.844216,8
622.144757,8
622.442452,7
622.73728,7
623.029222,7
623.318258,7
623.604371,8
623.887539,8
624.167744,7
624.444967,7
624.719187,6
624.990386,6
625.258545,6
625.523643,6
625.785662,5
626.044582,5
626.300385,5
626.55305,5
626.802558,5
627.04889,5
627.292026,5
627.531948,5
627.768635,5
628.002069,5
628.23223,5
628.459099,5
628.682657,4
628.902883,4
629.119759,3
629.333266,3
629.543384,3
629.750093,3
629.953374,3
630.153209,3
630.349577,2
630.54246,3
630.731838,4
630.917691,4
631.1,4
631.278746,4
631.45391,4
631.625472,4
631.793413,4
631.957713,3
632.118354,3
632.275315,3
632.428578,3
632.578123,3
632.72393,4
632.865981,4
633.004256,4
633.138736,5
633.269401,5
633.396232,5
633.51921,5
633.638315,4
633.753528,3
633.86483,3
633.972201,4
634.075622,4
634.175073,4
634.270536,4
634.36199,3
634.449417,4
634.532797,4
634.612111,4
634.68734,4
634.758463,4
634.825463,4
634.888318,2
634.947011,2
635.001522,2
635.05183,3
635.097918,4
635.139766,4
635.177354,4
635.210663,4
635.239673,4
635.264366,4
635.284722,3
635.300721,3
635.312344,3
635.319573,3
635.322387,4
635.320767,4
635.314694,4
635.304148,4
635.289111,4
635.269562,4
635.245483,4
635.216853,4
635.183655,4
635.145868,4
635.103473,3
635.05645,2
635.004781,2
634.948446,1
634.887426,2
634.821701,3
634.751252,4
634.676059,5
634.596104,4
634.511366,4
634.421827,3
634.327468,3
634.228268,4
634.124208,5
634.01527,5
633.901434,4
633.78268,4
633.658989,4
633.530342,4
633.396719,4
633.258101,4
633.114469,5
632.965803,4
632.812085,3
632.653294,3
632.489411,2
632.320417,2
632.146293,3
