Wavelength,Intensity
400.0,218
400.5,219
400.9,217
401.4,218
401.9,216
402.3,213
402.8,218
403.3,215
403.8,216
404.2,219
404.7,215
405.2,220
405.6,216
406.1,217
406.6,219
407.0,217
407.5,217
408.0,219
408.5,215
408.9,214
409.4,216
409.9,218
410.3,216
410.8,218
411.3,218
411.7,219
412.2,216
412.7,218
413.1,219
413.6,217
414.1,219
414.6,217
415.0,220
415.5,218
416.0,221
416.4,218
416.9,219
417.4,216
417.8,218
418.3,219
418.8,217
419.2,215
419.7,220
420.2,222
420.7,218
421.1,218
421.6,219
422.1,216
422.5,219
423.0,218
423.5,220
423.9,221
424.4,221
424.9,223
425.4,217
425.8,220
426.3,221
426.8,218
427.2,218
427.7,217
428.2,219
428.6,218
429.1,215
429.6,217
430.0,215
430.5,221
431.0,219
431.5,220
431.9,220
432.4,220
432.9,219
433.3,219
433.8,221
434.3,223
434.7,221
435.2,221
435.7,219
436.2,218
436.6,217
437.1,219
437.6,216
438.0,220
438.5,221
439.0,217
439.4,221
439.9,216
440.4,220
440.8,219
441.3,223
441.8,223
442.3,224
442.7,220
443.2,223
443.7,222
444.1,222
444.6,224
445.1,224
445.5,221
446.0,222
446.5,223
446.9,225
447.4,221
447.9,221
448.4,222
448.8,221
449.3,220
449.8,222
450.2,220
450.7,223
451.2,222
451.6,223
452.1,220
452.6,222
453.1,225
453.5,221
454.0,222
454.5,224
454.9,222
455.4,218
455.9,222
456.3,222
456.8,221
457.3,224
457.7,224
458.2,220
458.7,222
459.2,223
459.6,225
460.1,219
460.6,221
461.0,222
461.5,225
462.0,220
462.4,225
462.9,225
463.4,226
463.8,224
464.3,221
464.8,224
465.3,225
465.7,228
466.2,227
466.7,222
467.1,223
467.6,223
468.1,226
468.5,223
469.0,227
469.5,223
470.0,223
470.4,222
470.9,222
471.4,223
471.8,226
472.3,223
472.8,221
473.2,226
473.7,225
474.2,223
474.6,227
475.1,224
475.6,224
476.1,227
476.5,227
477.0,224
477.5,224
477.9,227
478.4,225
478.9,225
479.3,225
479.8,222
480.3,225
480.8,224
481.2,223
481.7,226
482.2,225
482.6,225
483.1,223
483.6,226
484.0,228
484.5,225
485.0,226
485.4,222
485.9,225
486.4,229
486.9,222
487.3,228
487.8,227
488.3,229
488.7,222
489.2,227
489.7,226
490.1,226
490.6,223
491.1,230
491.5,226
492.0,228
492.5,223
493.0,223
493.4,229
493.9,224
494.4,226
494.8,228
495.3,223
