Wavelength,Intensity
400.0,3
400.5,4
400.9,4
401.4,3
401.9,3
402.3,4
402.8,3
403.3,4
403.8,3
404.2,3
404.7,4
405.2,4
405.6,4
406.1,4
406.6,4
407.0,4
407.5,4
408.0,3
408.5,4
408.9,3
409.4,4
409.9,3
410.3,3
410.8,4
411.3,4
411.7,4
412.2,3
412.7,4
413.1,4
413.6,3
414.1,3
414.6,3
415.0,3
415.5,4
416.0,4
416.4,3
416.9,4
417.4,4
417.8,3
418.3,4
418.8,3
419.2,4
419.7,4
420.2,3
420.7,3
421.1,4
421.6,3
422.1,4
422.5,4
423.0,4
423.5,4
423.9,3
424.4,3
424.9,3
425.4,3
425.8,3
426.3,4
426.8,3
427.2,4
427.7,4
428.2,4
428.6,4
429.1,3
429.6,4
430.0,3
430.5,3
431.0,4
431.5,3
431.9,3
432.4,3
432.9,4
433.3,3
433.8,3
434.3,3
434.7,4
435.2,3
435.7,3
436.2,3
436.6,4
437.1,4
437.6,4
438.0,3
438.5,3
439.0,4
439.4,4
439.9,4
440.4,3
440.8,3
441.3,4
441.8,4
442.3,3
442.7,4
443.2,4
443.7,3
444.1,4
444.6,3
445.1,3
445.5,4
446.0,4
446.5,3
446.9,4
447.4,3
447.9,4
448.4,3
448.8,4
449.3,4
449.8,4
450.2,4
450.7,3
451.2,4
451.6,3
452.1,4
452.6,4
453.1,3
453.5,4
454.0,4
454.5,3
454.9,3
455.4,3
455.9,3
456.3,3
456.8,4
457.3,4
457.7,3
458.2,4
458.7,4
459.2,3
459.6,4
460.1,4
460.6,4
461.0,4
461.5,4
462.0,3
462.4,4
462.9,4
463.4,3
463.8,4
464.3,3
464.8,3
465.3,3
465.7,4
466.2,3
466.7,3
467.1,3
467.6,4
468.1,4
468.5,3
469.0,3
469.5,4
470.0,3
470.4,4
470.9,3
471.4,4
471.8,3
472.3,3
472.8,4
473.2,3
473.7,4
474.2,4
474.6,4
475.1,4
475.6,4
476.1,3
476.5,3
477.0,3
477.5,4
477.9,3
478.4,3
478.9,3
479.3,3
479.8,3
480.3,3
480.8,4
481.2,4
481.7,4
482.2,3
482.6,4
483.1,3
483.6,4
484.0,4
484.5,4
485.0,3
485.4,3
485.9,4
486.4,3
486.9,3
487.3,3
487.8,3
488.3,3
488.7,3
489.2,4
489.7,4
490.1,4
490.6,3
491.1,4
491.5,3
492.0,3
492.5,3
493.0,3
493.4,4
493.9,3
494.4,4
494.8,3
495.3,4
495.8,3
496.2,3
496.7,4
497.2,4
497.7,3
498.1,4
498.6,3
499.1,4
499.5,4
500.0,3
500.5,4
500.9,3
501.4,3
501.9,3
502.3,3
502.8,4
503.3,3
503.8,3
504.2,4
504.7,3
505.2,4
505.6,3
506.1,4
506.6,4
507.0,4
507.5,3
508.0,3
508.5,4
508.9,3
509.4,4
509.9,3
510.3,4
510.8,4
511.3,3
511.7,3
512.2,4
512.7,3
513.1,4
513.6,3
514.1,4
514.6,4
515.0,3
515.5,4
516.0,3
516.4,4
516.9,3
517.4,3
517.8,3
518.3,3
518.8,3
519.2,4
519.7,3
520.2,4
520.7,3
521.1,3
521.6,4
522.1,4
522.5,3
523.0,3
523.5,4
523.9,4
524.4,4
524.9,3
525.4,3
525.8,4
526.3,4
526.8,3
527.2,3
527.7,3
528.2,4
528.6,3
529.1,3
529.6,3
530.0,4
530.5,3
531.0,3
531.5,3
531.9,3
532.4,4
532.9,3
533.3,3
533.8,4
534.3,3
534.7,4
535.2,4
535.7,3
536.2,4
536.6,3
537.1,4
537.6,3
538.0,4
538.5,4
539.0,4
539.4,3
539.9,3
540.4,3
540.8,3
541.3,4
541.8,3
542.3,4
542.7,4
543.2,3
543.7,3
544.1,4
544.6,3
545.1,3
545.5,4
546.0,4
546.5,3
546.9,3
547.4,3
547.9,4
548.4,4
548.8,4
549.3,4
549.8,4
550.2,3
550.7,3
551.2,4
551.6,4
552.1,4
552.6,3
553.1,3
553.5,3
554.0,3
554.5,4
554.9,4
555.4,3
555.9,3
556.3,4
556.8,3
557.3,4
557.7,4
558.2,3
558.7,3
559.2,4
559.6,4
560.1,3
560.6,4
561.0,4
561.5,4
562.0,3
562.4,4
562.9,4
563.4,3
563.8,3
564.3,4
564.8,3
565.3,3
565.7,3
566.2,4
566.7,4
567.1,3
567.6,4
568.1,3
568.5,4
569.0,4
569.5,4
570.0,3
570.4,4
570.9,3
571.4,4
571.8,3
572.3,3
572.8,3
573.2,4
573.7,3
574.2,4
574.6,3
575.1,3
575.6,4
576.1,3
576.5,4
577.0,4
577.5,3
577.9,3
578.4,3
578.9,4
579.3,4
579.8,3
580.3,3
580.8,3
581.2,3
581.7,4
582.2,4
582.6,3
583.1,4
583.6,3
584.0,3
584.5,4
585.0,4
585.4,4
585.9,3
586.4,3
586.9,3
587.3,3
587.8,4
588.3,4
588.7,3
589.2,4
589.7,3
590.1,4
590.6,3
591.1,3
591.5,4
592.0,3
592.5,3
593.0,3
593.4,3
593.9,3
594.4,3
594.8,4
595.3,4
595.8,3
596.2,3
596.7,4
597.2,4
597.7,4
598.1,4
598.6,4
599.1,3
599.5,3
600.0,4
600.5,4
600.9,3
601.4,4
601.9,3
602.3,4
602.8,4
603.3,3
603.8,3
604.2,3
604.7,4
605.2,4
605.6,3
606.1,3
606.6,4
607.0,3
607.5,3
608.0,3
608.5,4
608.9,4
609.4,3
609.9,4
610.3,4
610.8,3
611.3,4
611.7,4
612.2,3
612.7,3
613.1,4
613.6,4
614.1,3
614.6,4
615.0,4
615.5,3
616.0,4
616.4,3
616.9,4
617.4,3
617.8,3
618.3,4
618.8,3
619.2,4
619.7,3
620.2,4
620.7,4
621.1,4
621.6,3
622.1,3
622.5,4
623.0,4
623.5,4
623.9,3
624.4,4
624.9,3
625.4,3
625.8,4
626.3,3
626.8,4
627.2,3
627.7,3
628.2,3
628.6,4
629.1,4
629.6,4
630.0,4
630.5,4
631.0,4
631.5,4
631.9,3
632.4,3
632.9,3
633.3,3
633.8,4
634.3,3
634.7,3
635.2,4
635.7,4
636.2,4
636.6,3
637.1,3
637.6,4
638.0,3
638.5,3
639.0,3
639.4,4
639.9,4
640.4,4
640.8,4
641.3,4
641.8,3
642.3,4
642.7,3
643.2,3
643.7,4
644.1,3
644.6,3
645.1,3
645.5,4
646.0,3
646.5,3
646.9,4
647.4,3
647.9,4
648.4,4
648.8,4
649.3,3
649.8,3
650.2,3
650.7,4
651.2,3
651.6,3
652.1,3
652.6,4
653.1,3
653.5,4
654.0,3
654.5,3
654.9,3
655.4,4
655.9,3
656.3,3
656.8,4
657.3,4
657.7,4
658.2,4
658.7,3
659.2,4
659.6,3
660.1,4
660.6,4
661.0,4
661.5,4
662.0,4
662.4,4
662.9,4
663.4,3
663.8,3
664.3,3
664.8,4
665.3,3
665.7,3
666.2,3
666.7,4
667.1,4
667.6,4
668.1,3
668.5,3
669.0,3
669.5,3
670.0,3
670.4,4
670.9,4
671.4,4
671.8,3
672.3,3
672.8,4
673.2,3
673.7,3
674.2,3
674.6,4
675.1,4
675.6,3
676.1,4
676.5,4
677.0,4
677.5,4
677.9,3
678.4,4
678.9,3
679.3,4
679.8,4
680.3,4
680.8,4
681.2,4
681.7,4
682.2,4
682.6,4
683.1,3
683.6,4
684.0,4
684.5,3
685.0,4
685.4,4
685.9,4
686.4,4
686.9,3
687.3,4
687.8,3
688.3,4
688.7,4
689.2,3
689.7,3
690.1,3
690.6,3
691.1,3
691.5,3
692.0,3
692.5,3
693.0,4
693.4,3
693.9,3
694.4,3
694.8,4
695.3,3
695.8,4
696.2,3
696.7,3
697.2,3
697.7,3
698.1,4
698.6,3
699.1,3
699.5,4
700.0,4
