Wavelength,Intensity
400.0,216
400.5,218
400.9,220
401.4,216
401.9,216
402.3,213
402.8,215
403.3,214
403.8,216
404.2,220
404.7,214
405.2,218
405.6,218
406.1,221
406.6,215
407.0,215
407.5,217
408.0,218
408.5,217
408.9,215
409.4,213
409.9,217
410.3,217
410.8,214
411.3,216
411.7,216
412.2,215
412.7,221
413.1,217
413.6,214
414.1,221
414.6,219
415.0,217
415.5,216
416.0,221
416.4,219
416.9,218
417.4,216
417.8,219
418.3,218
418.8,221
419.2,218
419.7,218
420.2,222
420.7,218
421.1,221
421.6,217
422.1,218
422.5,220
423.0,217
423.5,222
423.9,222
424.4,222
424.9,220
425.4,217
425.8,216
426.3,222
426.8,218
427.2,215
427.7,218
428.2,220
428.6,221
429.1,215
429.6,218
430.0,218
430.5,220
431.0,219
431.5,218
431.9,218
432.4,222
432.9,221
433.3,220
433.8,220
434.3,222
434.7,223
435.2,219
435.7,220
436.2,222
436.6,218
437.1,219
437.6,220
438.0,220
438.5,221
439.0,218
439.4,222
439.9,216
440.4,221
440.8,217
441.3,222
441.8,223
442.3,222
442.7,220
443.2,221
443.7,224
444.1,221
444.6,221
445.1,222
445.5,221
446.0,223
446.5,223
446.9,222
447.4,223
447.9,223
448.4,220
448.8,220
449.3,221
449.8,223
450.2,223
450.7,221
451.2,219
451.6,224
452.1,218
452.6,218
453.1,225
453.5,224
454.0,224
454.5,223
454.9,219
455.4,222
455.9,223
456.3,219
456.8,224
457.3,226
457.7,226
458.2,221
458.7,226
459.2,224
459.6,223
460.1,222
460.6,223
461.0,222
461.5,224
462.0,220
462.4,226
462.9,226
463.4,224
463.8,224
464.3,222
464.8,221
465.3,225
465.7,228
466.2,225
466.7,220
467.1,223
467.6,224
468.1,224
468.5,223
469.0,227
469.5,223
470.0,222
470.4,220
470.9,225
471.4,225
471.8,225
472.3,225
472.8,223
473.2,226
473.7,224
474.2,223
474.6,223
475.1,225
475.6,222
476.1,224
476.5,228
477.0,224
477.5,227
477.9,226
478.4,224
478.9,223
479.3,225
479.8,225
480.3,226
480.8,228
481.2,222
481.7,224
482.2,228
482.6,225
483.1,225
483.6,228
484.0,227
484.5,226
485.0,228
485.4,222
485.9,225
486.4,229
486.9,223
487.3,228
487.8,226
488.3,227
488.7,223
489.2,224
489.7,226
490.1,228
490.6,226
491.1,229
491.5,226
492.0,230
492.5,224
493.0,224
493.4,230
493.9,227
494.4,230
494.8,229
495.3,226
495.8,226
496.2,224
496.7,224
497.2,226
497.7,227
498.1,227
498.6,230
499.1,231
499.5,229
