Wavelength,Intensity
557.302452,13
556.291199,13
555.287605,14
554.291652,15
553.303319,16
552.322588,16
551.349439,16
550.383852,15
549.425809,12
548.47529,10
547.532276,10
546.596747,10
545.668684,10
544.748068,10
543.834879,10
542.929098,9
542.030706,9
541.139683,10
540.256009,11
539.379667,11
538.510635,12
537.648895,11
536.794428,10
535.947214,9
535.107234,9
534.274468,10
533.448898,10
532.630503,10
531.819264,9
531.015163,8
530.218179,8
529.428294,8
528.645487,9
527.869741,8
527.101034,7
526.339349,8
525.584665,7
524.836963,7
524.096225,8
523.36243,8
522.635559,7
521.915593,7
521.202512,7
520.496298,6
519.79693,6
519.10439,7
518.418658,7
517.739715,7
517.067541,8
516.402118,9
515.743425,9
515.091443,8
514.446154,7
513.807537,7
513.175573,7
512.550244,8
511.931529,7
511.319409,7
510.713865,6
510.114878,4
509.522428,4
508.936496,4
508.357062,5
507.784108,6
507.217613,6
506.657559,6
506.103926,5
505.556695,4
505.015847,4
504.481361,4
503.953219,5
503.431402,6
502.915889,7
502.406662,6
501.903702,5
501.406988,5
500.916503,5
500.432225,5
499.954136,5
499.482217,5
499.016449,5
498.556811,5
498.103284,6
497.65585,5
497.214489,5
496.779181,5
496.349908,4
495.926649,4
495.509385,4
495.098098,5
494.692768,5
494.293374,5
493.899899,5
493.512323,4
493.130626,4
492.754789,3
492.384792,4
492.020617,5
491.662244,5
491.309654,6
490.962826,5
490.621743,5
490.286384,4
489.956731,4
489.632763,4
489.314462,5
489.001808,5
488.694781,5
488.393364,5
488.097535,5
487.807276,4
487.522567,3
487.24339,3
486.969724,4
486.701551,5
486.438851,6
486.181604,6
485.929792,6
485.683394,5
485.442392,4
485.206767,4
484.976498,3
484.751567,4
484.531954,4
484.317641,4
484.108606,4
483.904832,4
483.706299,3
483.512987,3
483.324877,4
483.14195,5
482.964186,5
482.791567,5
482.624072,5
482.461683,4
482.304379,4
482.152143,4
482.004953,4
481.862792,4
481.725639,4
481.593476,4
481.466282,4
481.344039,5
481.226728,5
481.114328,5
481.00682,5
480.904186,4
480.806406,5
480.71346,5
480.62533,5
480.541995,5
480.463437,5
480.389635,5
480.320572,4
480.256227,5
480.196581,4
480.141614,5
480.091308,4
480.045643,4
480.0046,4
479.968158,4
479.9363,5
479.909006,5
479.886255,5
479.86803,6
479.85431,6
479.845076,6
479.84031,6
479.83999,5
479.844099,5
479.852617,4
479.865524,4
479.882801,4
479.904429,4
479.930389,6
479.96066,6
479.995224,7
480.034062,7
480.077153,7
480.124479,8
480.176021,8
480.231758,8
480.291672,7
480.355744,6
480.423953,5
480.496281,5
480.572708,5
480.653215,6
480.737782,6
480.826391,6
480.919021,7
481.015654,7
481.11627,8
481.22085,8
481.329374,9
481.441823,9
481.558178,8
481.67842,8
481.802528,7
481.930484,8
482.062269,9
482.197862,10
482.337245,9
482.480398,10
482.627303,10
482.777938,9
482.932286,8
483.090327,8
483.252042,8
483.41741,9
483.586414,11
483.759033,12
483.935248,13
484.11504,13
484.298389,12
484.485276,11
484.675682,12
484.869588,13
485.066973,13
485.26782,13
485.472107,13
485.679817,13
485.890929,12
486.105425,13
486.323284,15
486.544488,15
486.769017,16
486.996853,16
487.227974,14
487.462363,13
487.7,12
487.940865,12
488.18494,13
488.432204,14
488.682639,15
488.936224,13
489.192942,12
489.452772,10
489.715695,10
489.981692,11
490.250743,13
490.522829,13
490.79793,13
491.076028,14
491.357103,13
491.641136,13
491.928107,12
492.217996,12
492.510786,13
492.806455,13
493.104986,14
493.406358,15
493.710552,15
494.017548,15
494.327329,15
494.639873,15
494.955162,14
495.273177,14
495.593898,15
495.917305,15
496.24338,16
496.572103,15
496.903454,14
497.237415,12
497.573966,11
497.913087,10
498.25476,10
498.598965,13
498.945682,16
499.294892,16
499.646576,16
500.000715,17
500.357289,16
500.716279,15
501.077665,13
501.441429,13
501.80755,13
502.176009,13
502.546788,13
502.919867,13
503.295225,14
503.672845,14
504.052707,13
504.434791,12
504.819077,14
505.205548,15
505.594183,16
505.984962,15
506.377868,15
506.772879,14
507.169978,13
507.569144,12
507.970358,13
508.373601,13
508.778853,13
509.186096,12
509.59531,12
510.006474,13
510.419571,14
510.834581,15
511.251484,15
511.670261,15
512.090893,15
512.513361,15
512.937644,15
513.363724,13
513.791581,12
514.221196,12
514.65255,12
515.085623,12
515.520396,13
515.956849,14
516.394964,14
516.83472,14
517.276099,14
517.719081,13
518.163647,13
518.609778,12
519.057453,12
519.506655,13
519.957362,15
520.409557,17
520.86322,16
521.31833,15
521.77487,15
522.23282,14
522.69216,15
523.152871,16
523.614933,15
524.078328,15
524.543035,14
525.009036,15
525.476312,15
525.944842,17
526.414608,17
526.88559,17
527.357769,16
527.831125,16
528.305639,17
528.781293,18
529.258065,19
529.735938,19
530.214891,17
530.694906,15
531.175963,13
531.658042,15
532.141125,16
532.625192,18
533.110223,18
533.5962,18
534.083103,16
534.570912,14
535.059608,13
535.549173,15
536.039586,18
536.530828,20
537.02288,20
537.515722,19
538.009335,18
538.503701,16
538.998798,16
539.494609,17
539.991114,17
540.488293,17
540.986127,17
541.484597,17
541.983683,17
542.483366,17
542.983626,17
543.484445,18
543.985803,19
544.487681,20
544.990059,20
545.492917,20
545.996238,20
546.5,20
547.004185,19
547.508774,19
548.013747,19
548.519085,19
549.024768,18
549.530777,18
550.037093,18
550.543697,18
551.050568,18
551.557688,17
552.065038,17
552.572598,16
553.080348,17
553.588269,18
554.096343,19
554.604549,21
555.112868,22
555.621282,21
556.12977,20
556.638313,19
557.146892,20
557.655487,21
558.16408,21
558.67265,21
559.181179,21
559.689647,20
560.198035,19
560.706323,19
561.214492,19
561.722523,20
562.230397,19
562.738093,19
563.245593,19
563.752878,20
564.259927,19
564.766722,18
565.273243,18
565.779472,18
566.285387,18
566.790971,19
567.296204,19
567.801067,19
568.305539,18
568.809603,17
569.313238,16
569.816425,16
570.319145,18
570.821378,18
571.323105,18
571.824307,18
572.324965,18
572.825058,18
573.324568,17
573.823476,16
574.321762,15
574.819406,15
575.316389,14
575.812693,14
576.308297,14
576.803182,14
577.297329,15
577.790719,15
578.283331,14
578.775148,15
579.266149,15
579.756316,15
580.245628,16
580.734066,17
581.221612,17
581.708246,16
582.193947,16
582.678698,16
583.162479,15
583.64527,15
584.127052,16
584.607805,17
585.087511,17
585.56615,16
586.043703,15
586.520149,15
586.995471,14
587.469648,15
587.942662,14
588.414492,14
588.88512,14
589.354526,14
589.82269,14
590.289595,16
590.755219,16
591.219544,15
591.682551,13
